step_1,step_2,step_3,step_4,predict_1
W_Wijzigen contractgegevens_SCHEDULE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Valideren aanvraag_START,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,
<SOS>,W_Afhandelen leads_SCHEDULE,<EOS>,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,<SOS>,W_Afhandelen leads_COMPLETE,W_Completeren aanvraag_START
<SOS>,W_Afhandelen leads_SCHEDULE,O_ACCEPTED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,O_CANCELLED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,O_CREATED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START
<SOS>,W_Afhandelen leads_SCHEDULE,O_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,O_SELECTED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,O_SENT_BACK_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,O_SENT_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START
<SOS>,W_Afhandelen leads_SCHEDULE,W_Beoordelen fraude_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Beoordelen fraude_SCHEDULE,W_Afhandelen leads_COMPLETE,W_Beoordelen fraude_START
<SOS>,W_Afhandelen leads_SCHEDULE,W_Beoordelen fraude_START,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Completeren aanvraag_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,W_Completeren aanvraag_SCHEDULE,W_Afhandelen leads_COMPLETE,W_Completeren aanvraag_START
